Family,Genus,Species,Author,Date,Citation,Common Name,Home Range,Island? Y/N,Area of Homerange kmsq,Reference for Area,
Pteropodidae,Epomophorus,labiatus,Temminck,1837,Monogr. Mamm.,Little Epauletted Fruit Bat,"Burundi; Chad; Congo; Congo, The Democratic Republic of the; Eritrea; Ethiopia; Kenya; Malawi; Nigeria; Rwanda; South Sudan; Sudan; Tanzania, United Republic of; Uganda",no,,,
Pteropodidae,Epomophorus,minimus,Claessen & De Vree,1991,Senckenberg. Biol.,Least Epauletted Fruit Bat,"Ethiopia; Kenya; Somalia; Tanzania, United Republic of; Uganda",no,,,
Pteropodidae,Epomophorus,minor,Dobson,1880,Proc. Zool. Soc. Lond.,Minor Epauletted Fruit Bat,"Congo, The Democratic Republic of the; Ethiopia; Kenya; Malawi; Mozambique; Rwanda; Somalia; South Sudan; Tanzania, United Republic of; Uganda; Zambia",no,,,
Pteropodidae,Epomophorus,wahlbergi,Sundevall,1846,Ofv. Kongl. Svenska Vet.-Akad. Forhandl. Stockholm,Wahlberg&apos;s Epauletted Fruit Bat,"Angola; Botswana; Burundi; Congo; Congo, The Democratic Republic of the; Eswatini; Gabon; Kenya; Malawi; Mozambique; Rwanda; Somalia; South Africa; Tanzania, United Republic of; Uganda; Zambia; Zimbabwe",no,,,
Pteropodidae,Epomops,buettikoferi,Matschie,1899,Megachiroptera Berlin Mus.,B&uuml;ttikofer&apos;s Epauletted Fruit Bat,Ivoire; Ghana; Guinea; Guinea-Bissau; Liberia; Nigeria; Senegal; Sierra Leone,no,,,
Pteropodidae,Epomops,franqueti,Tomes,1860,Proc. Zool. Soc. Lond.,Franquet&apos;s Epauletted Fruit Bat,"Angola; Benin; Cameroon; Central African Republic; Congo; Congo, The Democratic Republic of the; Côte d'Ivoire; Equatorial Guinea; Gabon; Ghana; Nigeria; Sudan; Tanzania, United Republic of; Togo; Uganda; Zambia",no,,,
Pteropodidae,Haplonycteris,fischeri,Lawrence,1939,Bull. Mus. Comp. Zool.,Philippine Pygmy Fruit Bat,Philippines,yes,,,
Pteropodidae,Harpyionycteris,celebensis,Miller & Hollister,1921,Proc. Biol. Soc. Wash.,Sulawesi Harpy Fruit Bat,Indonesia,yes,,,
Pteropodidae,Harpyionycteris,whiteheadi,Thomas,1896,Ann. Mag. Nat. Hist.,Harpy Fruit Bat,Philippines,yes,,,
Pteropodidae,Hypsignathus,monstrosus,H. Allen,1861,Proc. Acad. Nat. Sci. Phil.,Hammer-headed Fruit Bat,"Angola; Benin; Burkina Faso; Cameroon; Central African Republic; Congo; Congo, The Democratic Republic of the; Côte d'Ivoire; Equatorial Guinea; Ethiopia; Gabon; Ghana; Guinea; Guinea-Bissau; Kenya; Liberia; Nigeria; Sierra Leone; Sudan; Togo; Uganda",no,,,
Pteropodidae,Latidens,salimalii,Thonglongya,1972,J. Bombay Nat. Hist. Soc.,Salim Ali&apos;s Fruit Bat,India,no,,,
Pteropodidae,Macroglossus,minimus,E. Geoffroy,1810,Ann. Mus. Natn. Hist. Nat. Paris,Dagger-toothed Long-nosed Fruit Bat,Australia; Brunei Darussalam; Cambodia; Indonesia; Malaysia; Papua New Guinea; Philippines; Singapore; Solomon Islands; Thailand; Timor-Leste; Viet Nam,no,,,
Pteropodidae,Macroglossus,sobrinus,K. Andersen,1911,Ann. Mag. Nat. Hist.,Greater Long-nosed Fruit Bat,Cambodia; China; India; Indonesia; Lao People's Democratic Republic; Malaysia; Myanmar; Thailand; Viet Nam,no,,,
Pteropodidae,Megaerops,albicollis,Francis,1989,Can. J. Zool.,White-collared Fruit Bat,Southern Asia,no,,,
Pteropodidae,Megaerops,ecaudatus,Temminck,1837,Monogr. Mamm.,Temminck&apos;s Tailless Fruit Bat,Brunei Darussalam; Indonesia; Malaysia; Thailand,no,,,
