Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,sample_size_tibia,reference.tibia,Adult_ear_length_mm,sample_size_ear,reference.ear.length,Adult_forearm_length_mm,sample_size_forearm,reference.forearm
Chiroptera,Pteropodidae,Eonycteris,spelaea,Eonycteris spelaea,F,54.17,14,Feng et al. 2007,NA,29.93,15,Feng et al. 2007,20.43,15,Feng et al. 2007,67.72,15,Feng et al. 2007
Chiroptera,Pteropodidae,Eonycteris,spelaea,Eonycteris spelaea,M,54.17,14,Feng et al. 2007,NA,29.93,15,Feng et al. 2007,20.43,15,Feng et al. 2007,67.72,15,Feng et al. 2007
Chiroptera,Pteropodidae,Epomophorus,anselli,Epomophorus anselli,F,70,NA,Monadjem et al. 2010,NA,NA,NA,NA,NA,NA,NA,66.5,3,Monadjem et al. 2010
Chiroptera,Pteropodidae,Epomophorus,anselli,Epomophorus anselli,M,70,NA,Monadjem et al. 2010,NA,NA,NA,NA,NA,NA,NA,77.4,1,Monadjem et al. 2010
Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,F,75.5,12,Monadjem et al. 2010,NA,NA,NA,NA,24,16,Monadjem et al. 2010,79,40,Monadjem et al. 2010
Chiroptera,Pteropodidae,Epomophorus,crypturus,Epomophorus crypturus,M,104.5,12,Monadjem et al. 2010,NA,NA,NA,NA,24.8,14,Monadjem et al. 2010,84.5,51,Monadjem et al. 2010
Chiroptera,Pteropodidae,Epomophorus,dobsonii,Epomophorus dobsonii,F,NA,NA,Monadjem et al. 2010,NA,NA,NA,NA,26,3,Monadjem et al. 2010,83.7,11,Monadjem et al. 2010
Chiroptera,Pteropodidae,Epomophorus,dobsonii,Epomophorus dobsonii,M,124.5,2,Monadjem et al. 2010,NA,NA,NA,NA,30,1,Monadjem et al. 2010,86.9,11,Monadjem et al. 2010
Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,F,120,NA,Monadjem et al. 2010,NA,34.75,1,Monadjem et al. 2010,22,2,Monadjem et al. 2010,93.5,7,Monadjem et al. 2010
Chiroptera,Pteropodidae,Epomops,franqueti,Epomops franqueti,M,150,NA,Monadjem et al. 2010,NA,34.75,1,Monadjem et al. 2010,22,2,Monadjem et al. 2010,93.5,7,Monadjem et al. 2010
Chiroptera,Pteropodidae,Haplonycteris,fischeri,Haplonycteris fischeri,F,18.5,1,Ingle and Heaney 1992,NA,NA,NA,NA,13.5,1,Ingle and Heaney 1992,49.5,1,Ingle and Heaney 1992
Chiroptera,Pteropodidae,Haplonycteris,fischeri,Haplonycteris fischeri,M,18.5,1,Ingle and Heaney 1992,NA,NA,NA,NA,13.5,1,Ingle and Heaney 1992,49.5,1,Ingle and Heaney 1992
Chiroptera,Pteropodidae,Harpyionycteris,whiteheadi,Harpyionycteris whiteheadi,F,110.5,1,Ingle and Heaney 1992,NA,NA,NA,NA,22,1,Ingle and Heaney 1992,85.5,1,Ingle and Heaney 1992
Chiroptera,Pteropodidae,Harpyionycteris,whiteheadi,Harpyionycteris whiteheadi,M,110.5,1,Ingle and Heaney 1992,NA,NA,NA,NA,22,1,Ingle and Heaney 1992,85.5,1,Ingle and Heaney 1992
Chiroptera,Pteropodidae,Macroglossus,minimus,Macroglossus minimus,F,17.5,1,Ingle and Heaney 1992,NA,NA,NA,NA,15,1,Ingle and Heaney 1992,43,1,Ingle and Heaney 1992
Chiroptera,Pteropodidae,Macroglossus,minimus,Macroglossus minimus,M,17.5,1,Ingle and Heaney 1992,NA,NA,NA,NA,15,1,Ingle and Heaney 1992,43,1,Ingle and Heaney 1992
Chiroptera,Pteropodidae,Macroglossus,sobrinus,Macroglossus sobrinus,F,67.095,4,Feng et al. 2007,NA,18.755,4,Feng et al. 2007,14.2325,4,Feng et al. 2007,48.32,4,Feng et al. 2007
Chiroptera,Pteropodidae,Macroglossus,sobrinus,Macroglossus sobrinus,M,67.5,2,Feng et al. 2007,NA,19.465,2,Feng et al. 2007,14.295,2,Feng et al. 2007,49.655,2,Feng et al. 2007
Chiroptera,Pteropodidae,Megaerops,albicollis,Megaerops albicollis,F,NA,NA,NA,NA,18.61,10,Maharadatunkamsi and Maryanto 2002,13.05,10,Maharadatunkamsi and Maryanto 2002,47.58,10,Maharadatunkamsi and Maryanto 2002
Chiroptera,Pteropodidae,Megaerops,albicollis,Megaerops albicollis,M,NA,NA,NA,NA,18.61,10,Maharadatunkamsi and Maryanto 2002,13.05,10,Maharadatunkamsi and Maryanto 2002,46,1,Francis 1989
Chiroptera,Pteropodidae,Megaerops,ecaudatus,Megaerops ecaudatus,F,NA,NA,NA,NA,21.67,9,Maharadatunkamsi and Maryanto 2002,14.13,9,Maharadatunkamsi and Maryanto 2002,55.02,9,Maharadatunkamsi and Maryanto 2002
Chiroptera,Pteropodidae,Megaerops,ecaudatus,Megaerops ecaudatus,M,NA,NA,NA,NA,21.67,9,Maharadatunkamsi and Maryanto 2002,14.13,9,Maharadatunkamsi and Maryanto 2002,55.02,9,Maharadatunkamsi and Maryanto 2002
Chiroptera,Pteropodidae,Megaerops,kusnotoi,Megaerops kusnotoi,F,NA,NA,NA,NA,20.63,11,Maharadatunkamsi and Maryanto 2002,13.05,11,Maharadatunkamsi and Maryanto 2002,51.9,5,Hill and Boeadi 1978
Chiroptera,Pteropodidae,Megaerops,kusnotoi,Megaerops kusnotoi,M,NA,NA,NA,NA,20.63,11,Maharadatunkamsi and Maryanto 2002,13.05,11,Maharadatunkamsi and Maryanto 2002,49,1,Hill and Boeadi 1978
Chiroptera,Pteropodidae,Megaloglossus,azagnyi,Megaloglossus azagnyi,F,12.1,10,Nesi et al. 2013,NA,NA,NA,NA,NA,NA,NA,40.45,16,Nesi et al. 2013
Chiroptera,Pteropodidae,Megaloglossus,azagnyi,Megaloglossus azagnyi,M,12.1,10,Nesi et al. 2013,NA,NA,NA,NA,NA,NA,NA,40.45,16,Nesi et al. 2013
Chiroptera,Pteropodidae,Megaloglossus,woermanni,Megaloglossus woermanni,F,14.3,61,Mongombe et al. 2020,NA,17.45,2,Monadjem et al. 2010,13.7,61,Mongombe et al. 2020,40.26,14,Bergmans 1997
Chiroptera,Pteropodidae,Megaloglossus,woermanni,Megaloglossus woermanni,M,14.3,61,Mongombe et al. 2020,NA,17.45,2,Monadjem et al. 2010,13.7,61,Mongombe et al. 2020,42.36,11,Bergmans 1997
Chiroptera,Pteropodidae,Melonycteris,woodfordi,Melonycteris woodfordi,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.2,14,Flannery 1993
Chiroptera,Pteropodidae,Melonycteris,woodfordi,Melonycteris woodfordi,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.2,29,Flannery 1993
Chiroptera,Pteropodidae,Micropteropus,pusillus,Micropteropus pusillus,F,27.6,10,Monadjem et al. 2010,NA,22.4,1,Owen-Ashley and Wilson 1998,16.4,1,Owen-Ashley and Wilson 1998,52.1,10,Monadjem et al. 2010
Chiroptera,Pteropodidae,Micropteropus,pusillus,Micropteropus pusillus,M,29.2,43,Monadjem et al. 2010,NA,21.7,1,Owen-Ashley and Wilson 1998,15.05,1,Owen-Ashley and Wilson 1998,51.2,43,Monadjem et al. 2010
Chiroptera,Pteropodidae,Myonycteris,angolensis,Myonycteris angolensis,F,82,1,Peterhans et al. 2013,NA,32.1,170,Mongombe et al. 2020,25,1,Peterhans et al. 2013,75.9,170,Mongombe et al. 2020
Chiroptera,Pteropodidae,Myonycteris,angolensis,Myonycteris angolensis,M,82,1,Peterhans et al. 2013,NA,32.1,170,Mongombe et al. 2020,25,1,Peterhans et al. 2013,75.9,170,Mongombe et al. 2020
Chiroptera,Pteropodidae,Myonycteris,brachycephala,Myonycteris brachycephala,F,64.2,1,Bergmans 1997,NA,NA,NA,NA,NA,NA,NA,63.85,1,Bergmans 1976
Chiroptera,Pteropodidae,Myonycteris,brachycephala,Myonycteris brachycephala,M,58.5,1,Bergmans 1997,NA,NA,NA,NA,NA,NA,NA,63.85,1,Bergmans 1976
Chiroptera,Pteropodidae,Myonycteris,leptodon,Myonycteris leptodon,F,35.6,33,Thansi et al. 2019,NA,24,4,Bergmans 1976,17,22,Bergmans 1976,61.5,36,Bergmans 1976
