 ,Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,Adult_tibia_length_CI_m,sample_size_tibia,reference-tibia,Adult_ear_length_mm,Adult_ear_length_CI_mm,sample_size_ear,reference-ear-length,Adult_forearm_length_mm,Adult_forearm_length_CI_mm,sample_size_forearm,reference-forearm
Anecia,Chiroptera,Pteropodidae,Nyctimene,sanctacrucis,Nyctimene sanctacrucis,,NA,,,NA,,,,,,,,,75,NA,NA,"Lavery et al., 2020"
Anecia,Chiroptera,Pteropodidae,Nyctimene,vizcaccia,Nyctimene vizcaccia,,41.96,,,NA,,,,,,,,,,,,
Anecia,Chiroptera,Pteropodidae,Otopteropus,cartilagonodus,Otopteropus cartilagonodus,,16.92,,,NA,,,,,,,,,,,,
Anecia,Chiroptera,Pteropodidae,Paranyctimene,raptor,Paranyctimene raptor,M,24.94,,,NA,18.6,NA,1,"Bergmans, 2001",11,NA,1,"Bergmans, 2001",53.4,NA,1,"Bergmans, 2001"
Anecia,Chiroptera,Pteropodidae,Paranyctimene,raptor,Paranyctimene raptor,F,24.94,,,NA,19,NA,2,"Bergmans, 2001",12.15,NA,2,"Bergmans, 2001",48.75,NA,2,"Bergmans, 2001"
Anecia,Chiroptera,Pteropodidae,Paranyctimene,tenax,Paranyctimene tenax,M,25.5,1,"Bergmans, 2001",NA,19.9,NA,6,"Bergmans, 2001",12.2,NA,6,"Bergmans, 2001",52.9,NA,6,"Bergmans, 2001"
Anecia,Chiroptera,Pteropodidae,Paranyctimene,tenax,Paranyctimene tenax,F,NA,,,NA,22.6,NA,2,"Bergmans, 2001",11.35,NA,2,"Bergmans, 2001",54.15,NA,2,"Bergmans, 2001"
Anecia,Chiroptera,Pteropodidae,Penthetor,lucasi,Penthetor lucasi,M,35.39,,,NA,29,NA,32,"Rahman & Abdullah, 2010",14.72,NA,32,"Rahman & Abdullah, 2010",60.64333333,NA,32,"Rahman & Abdullah, 2010"
Anecia,Chiroptera,Pteropodidae,Penthetor,lucasi,Penthetor lucasi,F,35.39,,,NA,28.55666667,NA,38,"Rahman & Abdullah, 2010",14.75333333,NA,38,"Rahman & Abdullah, 2010",60.72,NA,38,"Rahman & Abdullah, 2010"
Anecia,Chiroptera,Pteropodidae,Pteropus,admiralitatum,Pteropus admiralitatum,M,306.46,,,NA,,,,,,,,,108,NA,1,"Tate, 1934"
Anecia,Chiroptera,Pteropodidae,Pteropus,admiralitatum,Pteropus admiralitatum,F,306.46,,,NA,,,,,,,,,110.5,NA,2,"Tate, 1934"
Anecia,Chiroptera,Pteropodidae,Pteropus,aldabrensis,Pteropus aldabrensis,M,310.29,,,NA,,,,,,,,,137.3,NA,7,Bergmans 1990
Anecia,Chiroptera,Pteropodidae,Pteropus,aldabrensis,Pteropus aldabrensis,F,310.29,,,NA,,,,,32.5,NA,not_specified,Hill et al. 1971,133.75,NA,2,Bergmans 1990
Anecia,Chiroptera,Pteropodidae,Pteropus,alecto,Pteropus alecto,,610.13,,,NA,,,,,32.5,NA,not_specified,Hill et al. 1971,170,NA,1935,"Vardmon & Tidemann, 2000"
Anecia,Chiroptera,Pteropodidae,Pteropus,anetianus,Pteropus anetianus,,397.22,,,NA,,,,,,,,,,,,
Anecia,Chiroptera,Pteropodidae,Pteropus,aruensis,Pteropus aruensis,M,NA,,,NA,,,,,,,,,190,,1,Bergmans 2001
Anecia,Chiroptera,Pteropodidae,Pteropus,banakrisi,Pteropus banakrisi,F,234,6,"Richards & Hall, 2002",NA,66.7,66.8±1.7,5,"Richards & Hall, 2002",28.3,28.2±0.4,6,"Richards & Hall, 2002",135.2,128-141,6,"Richards & Hall, 2002"
Angelo,Chiroptera,Pteropodidae,Pteropus,lylei,Pteropus lylei,Male,490.4,13,Choden et al 2019,NA,,,,,,,,,152.3,,12,Choden et al 2019
Angelo,Chiroptera,Pteropodidae,Pteropus,lylei,Pteropus lylei,Female,430,1,Choden et al 2019,,,,,,,,,,149.4,,1,Choden et al 2019
Angelo,Chiroptera,Pteropodidae,Pteropus,macrotis,Pteropus macrotis,NA,297,NA,Hall et al 2014,NA,,,,,34.5,33-36,NA,Hall et al 2014,133,,,Hall et al 2014
Angelo,Chiroptera,Pteropodidae,Pteropus,mahaganus,Pteropus mahaganus,NA,297.28,NA,,NA,,,,,26.5,,2,Deusen 1969,140,,1,Deusen 1969
Angelo,Chiroptera,Pteropodidae,Pteropus,mariannus,Pteropus mariannus,Male,513.2,8,Perez 1972,NA,,,,,,,,,146.7,,8,Perez 1972
Angelo,Chiroptera,Pteropodidae,Pteropus,mariannus,Pteropus mariannus,Female,412.5,10,Perez 1972,NA,,,,,,,,,141.3,,10,Perez 1972
Angelo,Chiroptera,Pteropodidae,Pteropus,melanopogon,Pteropus melanopogon,Male,764,3 (range=510-900),Tsang 2015,NA,NA,NA,,NA,NA,NA,NA,NA,196.5,188-205,6,Tsang 2015
Angelo,Chiroptera,Pteropodidae,Pteropus,melanotus,Pteropus melanotus,Male,395.6,12,Hall et al 2014,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,molossinus,Pteropus molossinus,NA,122,NA,"Turnbull, 2013",NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,neohibernicus,Pteropus neohibernicus,NA,1017.37,NA,NA,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,niger,Pteropus niger,F,474.43,4 (range=380-520),"Cheke & Dahl,1981",NA,NA,NA,NA,NA,NA,NA,NA,NA,152,143-155,4,Cheke & Dahl 1981
Angelo,Chiroptera,Pteropodidae,Pteropus,nitendiensis,Pteropus nitendiensis,NA,275.56,NA,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,ocularis,Pteropus ocularis,Male,400,1,https://academicworks.cuny.edu/gc_etds/1161/,NA,68.89,,1,https://academicworks.cuny.edu/gc_etds/1161/,26.29,,1,https://academicworks.cuny.edu/gc_etds/1161/,144,,1,https://academicworks.cuny.edu/gc_etds/1161/
Angelo,Chiroptera,Pteropodidae,Pteropus,ornatus,Pteropus ornatus,NA,336.25,,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,pelewensis,Pteropus pelewensis,Male,268.1,31,Wiles et al 1997,NA,,,,,23.9,,66,Wiles et al 1997,120.5,,66,Wiles et al 1997
Angelo,Chiroptera,Pteropodidae,Pteropus,pelewensis,Pteropus pelewensis,Female,246.2,18,Wiles et al 1997,NA,,,,,23.6,,60,Wiles et al 1997,119.7,,60,Wiles et al 1997
Angelo,Chiroptera,Pteropodidae,Pteropus,personatus,Pteropus personatus,Male,114.88,12,Wiantoro&IbnuMaryanto 2016,NA,42.78,,12,Wiantoro&IbnuMaryanto 2016,21.25,,12,Wiantoro&IbnuMaryanto 2016,91.3,,12,Wiantoro&IbnuMaryanto 2016
Angelo,Chiroptera,Pteropodidae,Pteropus,personatus,Pteropus personatus,Female,141,12,Wiantoro&IbnuMaryanto 2016,NA,45.07,,12,Wiantoro&IbnuMaryanto 2016,24.41,,12,Wiantoro&IbnuMaryanto 2016,94.22,,12,Wiantoro&IbnuMaryanto 2016
Angelo,Chiroptera,Pteropodidae,Pteropus,pilosus,Pteropus pilosus,,NA,,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,pohlei,Pteropus pohlei,,352.75,,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,poliocephalus,Pteropus poliocephalus,Not-Specified,702.78,14 (range=615-845),Roberts et al 2012,NA,NA,NA,,NA,NA,NA,NA,NA,164.1428571,156-172,14,Roberts et al 2012
Angelo,Chiroptera,Pteropodidae,Pteropus,pselaphon,Pteropus pselaphon,Male,491.88,17 (SE=34.11; Range=400-616),"Sugita & Ueda,2014",NA,NA,,,,,,,,137.76,"SE=1.68, range132.1-145.1",17,"Sugita & Ueda,2014"
Angelo,Chiroptera,Pteropodidae,Pteropus,pselaphon,Pteropus pselaphon,Female,485.66,6 (SE=75.71; Range=363-580),"Sugita & Ueda,2014",NA,NA,,,,,,,,138.4,"SE=2.28, range135.8-139.8",6,"Sugita & Ueda,2014"
Angelo,Chiroptera,Pteropodidae,Pteropus,pumilus,Pteropus pumilus,NA,184.05,5 (mean=194),Riskin et al 2008,NA,,,,,,,,,,94-113,,http://fm2.fieldmuseum.org/animalguides/guide_pdfs/049-02.pdf
Angelo,Chiroptera,Pteropodidae,Pteropus,rayneri,Pteropus rayneri,,661.28,,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,rennelli,Pteropus rennelli,,NA,,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,rodricensis,Pteropus rodricensis,NA,256.17,18,"Gardner et al 2007, Hayes et al1996 (rang=275–498)",360,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,rufus,Pteropus rufus,Male,669.3,131,Brook et al 2020,NA,80.93,NA,131,Brook et al 202,28.89,,131,Brook et al 2020,167.3,,131,Brook et al 2020
Angelo,Chiroptera,Pteropodidae,Pteropus,rufus,Pteropus rufus,Female,557.9,121,Brook et al 2020,NA,78.46,NA,121,Brook et al 202,29.11,,121,Brook et al 2020,161.9,,121,Brook et al 2020
Angelo,Chiroptera,Pteropodidae,Pteropus,samoensis,Pteropus samoensis,Both,309.99,"5+7(Rang=260-440, mean=375)","Banack & Grant,2003, Richmond et al, 1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,148,138-155,5,"Banack & Grant,2003"
Angelo,Chiroptera,Pteropodidae,Pteropus,scapulatus,Pteropus scapulatus,,380.35,,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,seychellensis,Pteropus seychellensis,,492.2,,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,speciosus,Pteropus speciosus,Not-Specified,NA,NA,NA,NA,,,,,,,,,,118-133,,http://fm2.fieldmuseum.org/animalguides/guide_pdfs/049-02.pdf
Angelo,Chiroptera,Pteropodidae,Pteropus,subniger,Pteropus subniger,,NA,,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,temminckii,Pteropus temminckii,Not-specified,250,Turnbull 2013,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,tokudae,Pteropus tokudae,,153.7,,,NA,,,,,,,,,,,,
Angelo,Chiroptera,Pteropodidae,Pteropus,tonganus,Pteropus tonganus,Not-specified,561.51,NA,NA,NA,68.1,54-76,NA,"Miller et al, 1997",29.1,20-31,NA,"Miller et al, 1997",151.4,114-175.4,NA,"Miller et al, 1997"
Angelo,Chiroptera,Pteropodidae,Pteropus,tuberculatus,Pteropus tuberculatus,,NA,,,NA,,,,,,,,,,,,
Sarah,Chiroptera,Pteropodidae,Pteropus,ualanus,Pteropus ualanus,M,NA,,,NA,NA,NA,NA,NA,23.4,NA,1,"Bulletin of the Museum of Comparative Zoology at Harvard College, Volume 52. https://books.google.com/books?id=sdvwAAAAMAAJ&pg=PA29&lpg=PA29&dq=%22Pteropus+ualanus%22+and+forearm+length&source=bl&ots=MXT82uGF0J&sig=ACfU3U1Y01ST9RLrlLNe1HMsS-MWmbtBTQ&hl=en&sa=X&ved=2ahUKEwjmvPnLy-_tAhUJs54KHWhhDdYQ6AEwBnoECAgQAg#v=onepage&q=%22Pteropus%20ualanus%22%20and%20forearm%20length&f=false",130,NA,1,"Bulletin of the Museum of Comparative Zoology at Harvard College, Volume 52. https://books.google.com/books?id=sdvwAAAAMAAJ&pg=PA29&lpg=PA29&dq=%22Pteropus+ualanus%22+and+forearm+length&source=bl&ots=MXT82uGF0J&sig=ACfU3U1Y01ST9RLrlLNe1HMsS-MWmbtBTQ&hl=en&sa=X&ved=2ahUKEwjmvPnLy-_tAhUJs54KHWhhDdYQ6AEwBnoECAgQAg#v=onepage&q=%22Pteropus%20ualanus%22%20and%20forearm%20length&f=false"
Sarah,Chiroptera,Pteropodidae,Pteropus,ualanus,Pteropus ualanus,M,NA,,,NA,NA,NA,NA,NA,24,NA,1,"Bulletin of the Museum of Comparative Zoology at Harvard College, Volume 52. https://books.google.com/books?id=sdvwAAAAMAAJ&pg=PA29&lpg=PA29&dq=%22Pteropus+ualanus%22+and+forearm+length&source=bl&ots=MXT82uGF0J&sig=ACfU3U1Y01ST9RLrlLNe1HMsS-MWmbtBTQ&hl=en&sa=X&ved=2ahUKEwjmvPnLy-_tAhUJs54KHWhhDdYQ6AEwBnoECAgQAg#v=onepage&q=%22Pteropus%20ualanus%22%20and%20forearm%20length&f=false",126,NA,1,"Bulletin of the Museum of Comparative Zoology at Harvard College, Volume 52. https://books.google.com/books?id=sdvwAAAAMAAJ&pg=PA29&lpg=PA29&dq=%22Pteropus+ualanus%22+and+forearm+length&source=bl&ots=MXT82uGF0J&sig=ACfU3U1Y01ST9RLrlLNe1HMsS-MWmbtBTQ&hl=en&sa=X&ved=2ahUKEwjmvPnLy-_tAhUJs54KHWhhDdYQ6AEwBnoECAgQAg#v=onepage&q=%22Pteropus%20ualanus%22%20and%20forearm%20length&f=false"
Sarah,Chiroptera,Pteropodidae,Pteropus,vampyrus,Pteropus vampyrus,M,1027.54,,,NA,103.556667,NA,3,Tsang 2015,39.9366667,NA,3,Tsang 2015,238.666667,NA,3,Tsang 2015
Sarah,Chiroptera,Pteropodidae,Pteropus,vampyrus,Pteropus vampyrus,F,1027.54,,,NA,92.575,NA,2,Tsang 2015,28.5566667,NA,2,Tsang 2015,190,NA,2,Tsang 2015
Sarah,Chiroptera,Pteropodidae,Pteropus,vetulus,Pteropus vetulus,not_specified,151.54,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,14,Bergmans 2001
Sarah,Chiroptera,Pteropodidae,Pteropus,voeltzkowi,Pteropus voeltzkowi,M,542.4,,,NA,NA,NA,NA,NA,26.6666667,NA,3,Bergmans 1990,156.05,NA,6,Bergmans 1990
Sarah,Chiroptera,Pteropodidae,Pteropus,voeltzkowi,Pteropus voeltzkowi,F,542.4,,,NA,NA,NA,NA,NA,27,NA,3,Bergmans 1990,152,NA,5,Bergmans 1990
Sarah,Chiroptera,Pteropodidae,Pteropus,woodfordi,Pteropus woodfordi,M,122.67,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.2,92.7-99,1,"Bergmans 2001, Sanborn 1947"
Sarah,Chiroptera,Pteropodidae,Pteropus,yapensis,Pteropus yapensis,not_specified,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,,not_specified,Mammals of the South-West Pacific & Moluccan Islands. https://books.google.com/books?id=B5i-02zAb7cC&pg=PA184&lpg=PA184&dq=%22Pteropus+ualanus%22+and+forearm+length&source=bl&ots=23vmgTOaaL&sig=ACfU3U1NocLgBCqtwSyxaiP-kiTcvkW0yg&hl=en&sa=X&ved=2ahUKEwjmvPnLy-_tAhUJs54KHWhhDdYQ6AEwBXoECAcQAg#v=onepage&q=%22Pteropus%20ualanus%22%20and%20forearm%20length&f=false
Sarah,Chiroptera,Pteropodidae,Rousettus,bidens,Rousettus bidens,M,NA,,,NA,50,NA,1,Jentinks 1879,23,NA,1,Jentinks 1879,97.9,NA,5,Bergmans and Rozendaal 1988
Sarah,Chiroptera,Pteropodidae,Rousettus,bidens,Rousettus bidens,F,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,NA,6,Bergmans and Rozendaal 1988
Sarah,Chiroptera,Pteropodidae,Rousettus,celebensis,Rousettus celebensis,"9 M, 11 F",63.07,,,NA,34.3,2.4,20,Wiantoro et al. 2016,17.6,1.2,20,Wiantoro et al. 2016,74.8,4.6,20,Wiantoro et al. 2016
Sarah,Chiroptera,Pteropodidae,Rousettus,lanosus,Rousettus lanosus,F,104.78,,,NA,NA,NA,NA,NA,23,NA,2,Thorn and Peterhans 2009,88.5,NA,2,Thorn and Peterhans 2009
Sarah,Chiroptera,Pteropodidae,Rousettus,leschenaultii,Rousettus leschenaultii,M,84.88,,,NA,38.9,4.448,9,Shahbaz et al. 2020,19.77,2.991,9,Shahbaz et al. 2020,79.14,5.767,9,Shahbaz et al. 2020
Sarah,Chiroptera,Pteropodidae,Rousettus,leschenaultii,Rousettus leschenaultii,F,84.88,,,NA,35.08,4.779,6,Shahbaz et al. 2020,16,3.098,6,Shahbaz et al. 2020,75.33,7.062,6,Shahbaz et al. 2020
Sarah,Chiroptera,Pteropodidae,Rousettus,linduensis,Rousettus linduensis,not_specified,NA,,,NA,36.8,NA,4,Maryanto 2003,18.55,NA,4,Maryanto 2003,76.73,NA,4,Maryanto 2003
Sarah,Chiroptera,Pteropodidae,Rousettus,madagascariensis,Rousettus madagascariensis,65.72,NA,,,,,,,,,,,,,,,
Sarah,Chiroptera,Pteropodidae,Rousettus,obliviosus,Rousettus obliviosus,,45.32,,,NA,NA,NA,NA,NA,13.5,NA,74,Reason et al. 1994,74.1,NA,74,Reason et al. 1994: https://www.semanticscholar.org/paper/Some-observations-on-the-Comoro-rousette-Rousettus-Reason-Trewhella/a55cd72caba373a84ee3dfe494e27f833b2d344d
Sarah,Chiroptera,Pteropodidae,Rousettus,spinalatus,Rousettus spinalatus,M,92.32,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7,NA,1,Maryanto 2003
Sarah,Chiroptera,Pteropodidae,Rousettus,spinalatus,Rousettus spinalatus,F,92.32,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.95,NA,3,Maryanto 2003
Sarah,Chiroptera,Pteropodidae,Scotonycteris,ophiodon,Scotonycteris ophiodon,M,69.42,,,NA,,,,Bergmans 1990,21.8,NA,4,Bergmans 1990,76.4166667,NA,6,Bergmans 1990
Sarah,Chiroptera,Pteropodidae,Scotonycteris,ophiodon,Scotonycteris ophiodon,F,69.42,,,NA,,,,Bergmans 1990,22.4333333,NA,6,Bergmans 1990,78.4714286,NA,7,Bergmans 1990
Sarah,Chiroptera,Pteropodidae,Scotonycteris,zenkeri,Scotonycteris zenkeri,M,21.3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1,NA,13,Bergmans 1990
Sarah,Chiroptera,Pteropodidae,Scotonycteris,zenkeri,Scotonycteris zenkeri,F,21.3,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2,NA,10,Bergmans 1990
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,,,NA,16.48,NA,7,Tingga and Abdullah 2012,10.4,NA,7,Tingga and Abdullah 2012,43.68,NA,7,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,14.66,NA,4,Tingga and Abdullah 2012,10.87,NA,4,Tingga and Abdullah 2012,43.15,NA,4,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,15.28,NA,2,Tingga and Abdullah 2012,10.36,NA,2,Tingga and Abdullah 2012,38.11,NA,2,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,,,NA,15.57,NA,3,Tingga and Abdullah 2012,NA,NA,NA,Tingga and Abdullah 2012,43.53,NA,3,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,15.48,NA,6,Tingga and Abdullah 2012,NA,NA,NA,Tingga and Abdullah 2012,42.92,NA,6,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,,,NA,15.12,NA,7,Tingga and Abdullah 2012,10.26,NA,7,Tingga and Abdullah 2012,44.05,NA,7,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,15.82,NA,16,Tingga and Abdullah 2012,10.72,NA,16,Tingga and Abdullah 2012,43.76,NA,16,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,,,NA,16,NA,1,Tingga and Abdullah 2012,12,NA,1,Tingga and Abdullah 2012,44,NA,1,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,16.1,NA,2,Tingga and Abdullah 2012,10.5,NA,2,Tingga and Abdullah 2012,45.85,NA,2,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,M,NA,,,NA,13.79,NA,4,Tingga and Abdullah 2012,10.74,NA,4,Tingga and Abdullah 2012,44.37,NA,4,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,14.77,NA,8,Tingga and Abdullah 2012,11.24,NA,8,Tingga and Abdullah 2012,44.12,NA,8,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,aequalis,Aethalops aequalis,F,NA,,,NA,7.49,NA,6,Tingga and Abdullah 2012,9.74,NA,6,Tingga and Abdullah 2012,43.86,NA,6,Tingga and Abdullah 2012
Sarah,Chiroptera,Pteropodidae,Aethalops,alecto,Aethalops alecto,"2 M, 3 F",15,,,NA,14.61,NA,5,Ramji 2009,13,10.11,5,Ramji 2009,43.13,NA,5,Ramji 2009
Sarah,Chiroptera,Pteropodidae,Sphaerias,blanfordi,Sphaerias blanfordi,not_specified,28.88,,,NA,20.38,1.25,,Feng et al. 2008: https://www.researchgate.net/publication/292559213_Subspecies_differentiation_for_Blanford'_s_fruit_bat_Sphaerias_blanfordi_Pteropodidae_Chiroptera_in_southern_Asia,18.5,1.12,25,Feng et al. 2008: https://www.researchgate.net/publication/292559213_Subspecies_differentiation_for_Blanford'_s_fruit_bat_Sphaerias_blanfordi_Pteropodidae_Chiroptera_in_southern_Asia,53.53,1.97,25,Feng et al. 2008: https://www.researchgate.net/publication/292559213_Subspecies_differentiation_for_Blanford'_s_fruit_bat_Sphaerias_blanfordi_Pteropodidae_Chiroptera_in_southern_Asia
Sarah,Chiroptera,Pteropodidae,Styloctenium,wallacei,Styloctenium wallacei,not_specified,172.42,,,NA,NA,NA,NA,Ransaleleh et al. 2020,23,NA,2,Ransaleleh et al. 2020,105,NA,2,Ransaleleh et al. 2020
Sarah,Chiroptera,Pteropodidae,Syconycteris,australis,Syconycteris australis,not_specified,17.6,,,NA,16.9,NA,80,Kitchener et al. 1994],15.8,NA,80,Kitchener et al. 1994],42.6,NA,80,Kitchener et al. 1994]
Sarah,Chiroptera,Pteropodidae,Syconycteris,carolinae,Syconycteris carolinae,M,39.67,,,NA,23,NA,23,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false",15.2,NA,23,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false",58.4,NA,22,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false"
Sarah,Chiroptera,Pteropodidae,Syconycteris,carolinae,Syconycteris carolinae,F,39.67,,,NA,22.6,NA,22,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false",15.1,NA,22,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false",58.4,NA,23,"Boeadi and Flannery 1992. A second record of Synconycteris carolinae Rozendaal, 1984 with notes on habitat and biology. https://books.google.com/books?id=fTldaf9siaUC&pg=PA139&lpg=PA139&dq=Syconycteris+carolinae+and+%22ear+length%22&source=bl&ots=5tslT-HE_x&sig=ACfU3U0Ui1t3y7WJFg2AxBYGzdbvqeTvCA&hl=en&sa=X&ved=2ahUKEwjtyNaZ_P3tAhU0FTQIHd2eAaQQ6AEwAHoECAEQAg#v=onepage&q=Syconycteris%20carolinae%20and%20%22ear%20length%22&f=false"
Sarah,Chiroptera,Pteropodidae,Syconycteris,hobbit,Syconycteris hobbit,F,20.06,,,NA,NA,NA,NA,NA,12,NA,1,Ziegler 1982,50,NA,1,Ziegler 1982
Sarah,Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon celebensis,M,384.84,,,NA,58.9,NA,1,Tsang 2015,33.34,NA,1,Tsang 2015,143,NA,1,Tsang 2015
Sarah,Chiroptera,Pteropodidae,Acerodon,celebensis,Acerodon celebensis,F,384.84,,,NA,58.005,NA,2,Tsang 2015,30.575,NA,2,Tsang 2015,135,NA,2,Tsang 2015
Sarah,Chiroptera,Pteropodidae,Acerodon,humilis,Acerodon humilis,,NA,,,NA,,,,,,,,,,,,
Sarah,Chiroptera,Pteropodidae,Acerodon,jubatus,Acerodon jubatus,M,1087.04,,,NA,NA,NA,NA,NA,33,NA,1,Mudar and Allen1986,190,NA,1,Mudar and Allen1986
Sarah,Chiroptera,Pteropodidae,Acerodon,leucotis,Acerodon leucotis,,NA,,,NA,,,,,,,,,,,,
Sarah,Chiroptera,Pteropodidae,Acerodon,mackloti,Acerodon mackloti,not_specified,467.93,,,NA,NA,NA,NA,NA,33,NA,10,Goodwin 1979,143,NA,10,Goodwin 1979
