"roost_site","latitude_s","longitude_e","researchers_present","collection_date","net_night","bat_species","sampleid"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","AND3"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","ATS3"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","ATS4"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","ATS5"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","ATS6"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","AND5"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","AND6"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","AND7"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","AND8"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","AND4"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","ATS1"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Eidolon dupreanum","ATS2"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Hipposideros commersoni","HIP1"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU1"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU10"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU11"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU12"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU13"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU14"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU15"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU16"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU2"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU3"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU4"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU5"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU6"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU7"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU8"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/1/2014","1","Rousettus madagascariensis","ROU9"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","1","Eidolon dupreanum","AND9"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","1","Eidolon dupreanum","AND10"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","1","Eidolon dupreanum","AND11"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","1","Eidolon dupreanum","AND12"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","1","Eidolon dupreanum","AND13"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Hipposideros commersoni","HIP2"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Hipposideros commersoni","HIP3"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Hipposideros commersoni","HIP4"
